,auctionName,auctionId,auctionDate
1162,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-works-art-l14211,05 NOV 2014
1163,Collections,collections-l14305,28 OCT 2014
1164,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-works-of-art-hk0522,08 OCT 2014
1165,The Chunzaizhai Collection – A Xuande ‘Fish’ Stemcup,the-chunzaizhai-collection-a-xuande-fish-stemcup-hk0557,08 OCT 2014
1166,Chinese Art through the Eye of Sakamoto Gorō – Porcelain,chinese-art-through-the-eye-of-sakamoto-goro-porcelain-hk0559,08 OCT 2014
1167,Later Chinese Bronzes from the Collection of Ulrich Hausmann,later-chinese-bronzes-from-the-collection-of-ulrich-hausmann-hk0558,08 OCT 2014
1168,"The Baoyizhai Collection of Chinese Lacquer, Part 2",baoyizhai-collection-of-chinese-lacquer-part-ii-hk0554,08 OCT 2014
1169,The Fonthill ‘Dragon’ Jar,the-fonthill-dragon-jar-hk0560,08 OCT 2014
1170,Heirlooms of Chinese Art from the Hosokawa Clan,heirlooms-of-chinese-art-from-the-hosokawa-clan-hk0553,08 OCT 2014
1171,Contemporary Literati - Landscapes in Mind,contemporary-literati-landscapes-in-mind-hk0510,06 OCT 2014
1172,Images of Enlightenment: Devotional Works of Art and Paintings,images-of-enlightenment-n09191,17 SEP 2014
1173,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n09192, 16 SEP 2014—17 SEP 2014
1174,Chinese Art through the Eye of Sakamoto Gorō: Song Ceramics,sakamoto-goro-ceramics-n09189,16 SEP 2014
1175,Arts d'Asie,arts-dasie-pf1407,10 JUN 2014
1176,"Playthings From The Collection of Edward T. Chow&lt;br&gt;Chinese Ceramics and Works of Art, Collections&lt;br&gt;Chinese Art Through the Eye of Sakamoto Gorō - &lt;br&gt;Asian Lacquer",chinese-ceramics-works-of-art-collections-hk0520,27 MAY 2014
1177,Snuff Bottles from the Mary &amp; George Bloch Collection: Part VIII,snuff-bottles-hk0519,26 MAY 2014
1178,Arts of Europe,arts-europe-l14301,15 MAY 2014
1179,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-art-l14210,14 MAY 2014
1180,"The Gustav Leonhardt Collection, Property from the Bartolotti House, Amsterdam",gustav-leonhardt-collection-l14307,29 APR 2014
1181,"Une famille et Napoléon, Collections du Maréchal Berthier, Prince de Wagram",family-first-empire-marshal-berthier-pf1450,29 APR 2014
1182,Collections,collections-l14304,29 APR 2014
1183,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-works-of-art-hk0517,08 APR 2014
1184,Gods and Beasts – Gilt Bronzes from the Speelman Collection,gods-beasts-gilt-bronzes-from-speelman-collection-hk0540,08 APR 2014
1185,The Hung Collection – A Selection of Important Chinese Furniture,hung-collection-selection-of-chinese-furniture-hk0543,08 APR 2014
1186,The Meiyintang ‘Chicken Cup',meiyintang-chicken-cup-hk0545,08 APR 2014
1187,"The Baoyizhai Collection of Chinese Lacquer, Part 1",chinese-lacquer-from-baoyizhai-collection-part-i-hk0544,08 APR 2014
1188,Chinese Art Through the Eye of Sakamoto Gorō – The Clark Ding,chinese-art-through-eye-of-sakamoto-goro-ding-hk0542,08 APR 2014
1189,"Water, Pine and Stone Retreat Collection: Later Bronzes",water-pine-stone-retreat-collection-later-bronzes-hk0539,08 APR 2014
1190,Contemporary Literati — A Gathering,contemporary-literati-gathering-hk0507,07 APR 2014
1191,Curiosité : un Regard Moderne,curiosite-regard-moderne-pf1440,26 MAR 2014
1192,Ancienne collection de la vicomtesse de Courval,collection-vicomtesse-courval-pf1430,25 MAR 2014
1193,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n09116, 18 MAR 2014—19 MAR 2014
1194,Chinese Art Through The Eye Of Sakamoto Goro&lt;br&gt;A Bronze Owl Hu,sakamoto-n09124,18 MAR 2014
1195,Archaic Bronzes and the Wu Dacheng Jijintu Scroll,archaic-bronzes-wu-dacheng-jijintu-scroll-n09123,18 MAR 2014
1196,1000 Ways of Seeing: The Private Collection of the late Stanley J. Seeger,1000-ways-seeing-l14313, 05 MAR 2014—06 MAR 2014
1197,Important Americana,americana-vo-n09100, 24 JAN 2014—25 JAN 2014
1198,Of Royal and Noble Descent,royal-noble-descent-l14314,23 JAN 2014
1199,Arts  d'Asie,arts-asie-pf1317,12 DEC 2013
1200,A Connoisseur's Collection,a-connoisseurs-collection-l13306,04 DEC 2013
1201,Snuff Bottles from the Mary &amp; George Bloch Collection: Part VII,bloch-vii-hk0495,26 NOV 2013
1202,Defining Taste&lt;br&gt;Works selected by Danny Katz,daniel-katz-sale-l13232,12 NOV 2013
1203,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l13211,06 NOV 2013
1204,Piano Nobile,piano-nobile-collection-aristocratic-milanese-palazzo-l13318,05 NOV 2013
1205,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0477,08 OCT 2013
1206,Important Ming Porcelain from a Private Collection,important-ming-porcelain-from-a-private-collection-hk0489,08 OCT 2013
1207,Chinese Art through the Eye of Sakamoto Gorō,chinese-art-through-the-eye-of-sakamoto-goro-hk0490,08 OCT 2013
1208,The Cunliffe&lt;br&gt;Musk-Mallow&lt;br&gt;Palace Bowl,the-cunliffe-musk-mallow-palace-bowl-hk0493,08 OCT 2013
1209,Qing Imperial Porcelain – A Kyoto Collection,qing-imperial-porcelain-a-kyoto-collection-hk0492,08 OCT 2013
1210,Contemporary Literati: Early Ink Masters,contemporary-literati-hk0491,05 OCT 2013
1211,Collections,collections-l13304,24 SEP 2013
1212,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n09006, 17 SEP 2013—18 SEP 2013
1213,Magnificent Ritual Bronzes,magnificent-ritual-bronzes-n09026,17 SEP 2013
1214,"Treasures, Princely Taste",treasures-princely-taste-l13303,03 JUL 2013
1215,Arts d'Asie,arts-dasie-pf1307,12 JUN 2013
1216,Snuff Bottles from the Mary and George Bloch Collection: Part VI,chinese-ceramics-and-woa-midseason-hk0463,27 MAY 2013
1217,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-l13210,15 MAY 2013
1218,Collections,collections-l13311,30 APR 2013
1219,Collection de Nicolas Landau et Jacqueline Goldman,collection-de-nicolas-landau-et-jacqueline-goldman, 08 APR 2013—09 APR 2013
1220,"Water, Pine and Stone Retreat Collection, Scholarly Art III",so-water-pine-and-stone-hk0480,08 APR 2013
1221,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0461,08 APR 2013
1222,"The Meiyintang Collection, Part V",ecwa-myt-v-hk0483,08 APR 2013
1223,A Magnificent Falangcai Bowl From the Collection of Dr. Alice Cheng,so-alice-cheng-hk0481,08 APR 2013
1224,Mark Birley: The Private Collection,mark-birley-collection,21 MAR 2013
1225,Fine Chinese Ceramics &amp; Works of Art,chinese-works-of-art-n08974, 19 MAR 2013—20 MAR 2013
1226,"Important Americana: Furniture, Folk Art, Silver, Porcelain, Prints and Carpets including property sold by the Philadelphia Museum of Art",americana-vo-n08950, 25 JAN 2013—26 JAN 2013
1227,Arts d'Asie,arts-dasie-pf1217,18 DEC 2012
1228,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l12211,07 NOV 2012
1229,Treasures of the Qing Court. A Personal Perspective,treasures-of-the-qing-court-a-personal-perspective,07 NOV 2012
1230,Chinese Ceramics from the Collection of Peter and Nancy Thompson,chinese-ceramics-from-the-collection-of-peter-and-nancy-thompson,07 NOV 2012
1231,Collection Meyer,collection-musicale-andr-meyer, 16 OCT 2012—17 OCT 2012
1232,Fine Chinese Ceramics &amp; Works of Art,ceramics-vo-hk0399,09 OCT 2012
1233,"The Meiyintang Collection, Part IV - An Important Selection of Imperial Chinese Porcelains",meiyingtang-collection-4-hk0437,09 OCT 2012
1234,Exceptional Qing Porcelain from the Collection of Dr. Alice Cheng,so-cheng-hk0433,09 OCT 2012
1235,Qing Imperial Monochromes from the J.M. Hu Collection,so-jm-hu-hk0434,09 OCT 2012
1236,Property from the Estate of Brooke Astor,property-from-the-estate-of-brooke-astor-n08890, 24 SEP 2012—25 SEP 2012
1237,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-and-works-of-art-n08872, 11 SEP 2012—12 SEP 2012
1238,Arts d'Asie,arts-dasie-pf1207,13 JUN 2012
1239,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art,16 MAY 2012
1240,From the Collection of Prince and Princess Henry De la Tour d'Auvergne Lauraguais,from-the-collection-of-prince-and-princess-henry-de-la-tour-dauvergne-lauraguais,03 MAY 2012
1241,Collection Florence Loeb ­- Sources et Affinités,collection-florence-loeb-sources-et-affinits,05 APR 2012
1242,Fine Chinese Ceramics &amp; Works of Art,ceramics-vo-hk0393,04 APR 2012
1243,A Private Collection of Scholarly and Imperial Works of Art,ecwa-hk0407,04 APR 2012
1244,"Water, Pine and Stone Retreat Collection, Scholarly Art II",ecwa-hm-hk0405,04 APR 2012
1245,"The Meiyintang Collection, Part III - An Important Selection of Imperial Chinese Porcelains",ecwa-myt-iii-hk0406,04 APR 2012
1246,Ru - From a Japanese Collection,ru-hk0367,04 APR 2012
1247,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-and-works-of-art-n08834,20 MAR 2012
1248,Distinctive Styles,distinctive-styles-property-from-the-collection-of-roger-rechler-new-york-and-property-from-the-kentucky-residence-of-dorothy-and-wendell-cherry,16 MAR 2012
1249,"Important Americana: Furniture, Folk Art, Silver, Porcelain, Prints and Carpets",americana-n08823, 20 JAN 2012—21 JAN 2012
1250,Arts D'Asie,arts-dasie,15 DEC 2011
1251,Property from the Collection of Dodie Rosekrans,property-from-the-collection-of-dodie-rosekrans-n08818, 08 DEC 2011—09 DEC 2011
1252,"Important English and European Furniture, Silver, Porcelain and Carpets, Including Clocks from the Teets Collection",important-english-european-decorative-arts,18 NOV 2011
1253,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art,09 NOV 2011
1254,Property from the Collections of Lily &amp; Edmond J. Safra - Volumes I-VI ,property-from-the-collections-of-lily-edmond-j-safra-n08822, 18 OCT 2011—21 OCT 2011
1255,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-and-works-of-art-hk0363,05 OCT 2011
1256,"The Meiyintang Collection, Part II - An Important Selection of Imperial Chinese Porcelains",ceramics-myt-hk0377,05 OCT 2011
1257,An Auction to Benefit the University of Oxford China Centre,oxford-charity-auction-hk0376,04 OCT 2011
1258,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n08763,14 SEP 2011
1259,The Evill/Frost Collection III,the-evillfrost-collection-part-iii-l11146,16 JUN 2011
1260,Arts d'Asie,arts-dasie-pf1107,09 JUN 2011
1261,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l11210,11 MAY 2011
1262,Noblesse Oblige,princely-sale-l11309,14 APR 2011
1263,Fine Chinese Ceramics and Works of Art,chinese-ceramics-works-of-art-hk0358,08 APR 2011
1264,Vestiges from China's Imperial History,vestiges-from-china39s-imperial-history-hk0372,08 APR 2011
1265,Rhinoceros Horn Carvings from The Edward,rhinoceros-horn-carvings-from-the-edward-and-franklin-chow-collection-hk0370,08 APR 2011
1266,The Meiyintang Collection - An Important Selection of Imperial Chinese Porcelains ,the-meiyintang-collection-an-important-selection-of-imperial-chinese-porcelains-hk0371,07 APR 2011
1267,Property of a Palm Beach Private Collector,property-of-a-private-palm-beach-collector-n08758,29 MAR 2011
1268,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-n08726,23 MAR 2011
1269,"Harmony of Form, Serenity of Color: A Private Collection of &amp;#39;Song&amp;#39; Ceramics",harmony-of-form-serenity-of-color-a-private-european-collection-of-39song39-ceramics-n08736,23 MAR 2011
1270,Informing the Eye of the Collector: Chinese Ceramics and Works of Art from J.T. Tai &amp; Co.,informing-the-eye-of-the-collector-chinese-ceramics-and-works-of-art-from-jt-tai-co-n08722,22 MAR 2011
1271,"Property from the Hascoe Family Collection: Important American and English Furniture, Fine &amp; Decorative Arts",property-from-the-hascoe-family-collection-important-american-and-english-furniture-fine-decorative-arts-n08724,23 JAN 2011
1272,Important Americana Including American Stoneware Assembled by Mr. and Mrs. Edwin Hochberg,important-americana-including-american-stoneware-assembled-by-mr-and-mrs-edwin-hochberg-n08710, 21 JAN 2011—22 JAN 2011
1273,Asian Art,asian-art-pf1027,16 DEC 2010
1274,"A Travers les Styles: A Private Collection of Silver, Paintings and Furniture",a-travers-les-styles-a-private-collection-of-silver-paintings-and-furniture-pf1039,15 DEC 2010
1275,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-l10211,10 NOV 2010
1276,Ashdown House: The Winter Queen and the Earl of Craven,ashdown-house-the-winter-queen-and-the-earl-of-craven-l10312,27 OCT 2010
1277,"Important Old Master Paintings, Chinese Works of Art, Furniture and Silver from a Milanese Private Collection",important-old-master-paintings-chinese-works-of-art-furniture-and-silver-from-a-milanese-private-collection-mi0312,19 OCT 2010
1278,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-hk0331,08 OCT 2010
1279,"Water, Pine and Stone Retreat Collection - Scholarly Art",water-pine-and-stone-retreat-collection-scholarly-art-hk0340,08 OCT 2010
1280,"Important Chinese Art: The Collection of a Parisian Connoisseur, Part II",important-chinese-art-the-collection-of-a-parisian-connoisseur-part-ii-hk0344,07 OCT 2010
1281,Ming Imperial Bronzes from the Collection of Tuyet Nguyet and Stephen Markbreiter,ming-imperial-bronzes-from-the-collection-of-tuyet-nguyet-and-stephen-markbreiter-hk0341,07 OCT 2010
1282,Masterpieces of Qing Imperial Porcelain from J.T. Tai &amp; Co.,masterpieces-of-qing-imperial-porcelain-from-jt-tai-co-hk0343,07 OCT 2010
1283,An Important Private Collection of Qing Historical Works of Art,an-important-private-collection-of-qing-historical-works-of-art-hk0342,07 OCT 2010
1284,Chatsworth: The Attic Sale,chatsworth-the-attic-sale-l10309, 05 OCT 2010—07 OCT 2010
1285,"Mobilier, Orfèvrerie et Tableaux Anciens provenant de l&amp;#39;ancienne collection de Madame Antenor Patiño",mobilier-orfvrerie-et-tableaux-anciens-provenant-de-l39ancienne-collection-de-madame-antenor-patio-pf1037, 22 SEP 2010—23 SEP 2010
1286,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n08659,15 SEP 2010
1287,The Joe Grimberg Collection of Chinese Snuff Bottles,the-joe-grimberg-collection-of-chinese-snuff-bottles-n08702,14 SEP 2010
1288,An Exceptional Eye: A Private British Collection,an-exceptional-eye-a-private-british-collection-l10041,14 JUL 2010
1289,Asian Art,asian-art-pf1016,09 JUN 2010
1290,The Collection of Patricia Kluge,the-collection-of-patricia-kluge-n08657, 08 JUN 2010—09 JUN 2010
1291,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l10210,12 MAY 2010
1292,A Celebration of the English Country House,a-celebration-of-the-english-country-house-n08625,15 APR 2010
1293,FINE CHINESE CERAMICS &amp; WORKS OF ART,fine-chinese-ceramics-works-of-art-hk0323,08 APR 2010
1294,"WATER, PINE AND STONE RETREAT COLLECTION - OBJECTS OF CONTEMPLATION",water-pine-and-stone-retreat-collection-objects-of-contemplation-hk0334,08 APR 2010
1295,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n08618,23 MAR 2010
1296,Chinese Export Porcelain from the Private Collection of Elinor Gordon,chinese-export-porcelain-from-the-private-collection-of-elinor-gordon-n08650,23 JAN 2010
1297,Important Americana,important-americana-n08608, 22 JAN 2010—23 JAN 2010
1298,Asian Art,asian-art-pf9017,18 DEC 2009
1299,Fine Chinese Ceramics and Works of Art ,fine-chinese-ceramics-and-works-of-art-l09711,04 NOV 2009
1300,The Connoisseur&amp;#39;s Collection,the-connoisseur39s-collection-au0731, 27 OCT 2009—28 OCT 2009
1301,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-hk0308,08 OCT 2009
1302,"Water, Pine and Stone Retreat Collection - Qianlong",water-pine-and-stone-retreat-collection-qianlong-hk0314,08 OCT 2009
1303,"Photographs, Furniture, and Works of Art from a Parisian Flat, Avenue Montaigne ",photographs-furniture-and-works-of-art-from-a-parisian-flat-avenue-montaigne-pf9093,23 SEP 2009
1304,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-n08565,16 SEP 2009
1305,"Fine Chinese Furniture, Works of Art and Carpets from the Arthur M. Sackler Collections",fine-chinese-furniture-works-of-art-and-carpets-from-the-arthur-m-sackler-collections-n08576,16 SEP 2009
1306,Furniture and Decorative Arts,furniture-and-decorative-arts-am1075,16 JUN 2009
1307,Asian Art,asian-art-pf9010,11 JUN 2009
1308,Genoese Silver and Furniture From a Private Swiss Collection,genoese-silver-and-furniture-from-a-private-swiss-collection-l09769,27 MAY 2009
1309,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l09710,13 MAY 2009
1310,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-hk0300,08 APR 2009
1311,Ming Imperial Furniture- The Biegucang Collection,ming-imperial-furniture-the-biegucang-collection-hk0313,08 APR 2009
1312,Eight Treasures from a European Collection,eight-treasures-from-a-european-collection-hk0311,08 APR 2009
1313,"Furniture, Clocks &amp; Decorative Arts",furniture-clocks-decorative-arts-am1072,07 APR 2009
1314,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-n08524,17 MAR 2009
1315,Important Americana,important-americana-n08512, 23 JAN 2009—24 JAN 2009
1316,Asian Art,asian-art-pf8017,18 DEC 2008
1317,"6 rue Royale, Paris 18th Century Furniture and Works of Art ",6-rue-royale-paris-18th-century-furniture-and-works-of-art-pf8032,17 DEC 2008
1318,Property from Royal and Noble Families,property-from-royal-and-noble-families-am1060,17 DEC 2008
1319,The Studiolo: Old Master Paintings and Works of Art from the London Residence of Luigi Koelliker,the-studiolo-old-master-paintings-and-works-of-art-from-the-london-residence-of-luigi-koelliker-l08315,03 DEC 2008
1320,"Important English Furniture and Silver Together with property from The Estate of the Late Lady Samuel of Wych Cross and A Discerning Eye, Property from a Knightsbridge Apartment",important-english-furniture-and-silver-together-with-property-from-the-estate-of-the-late-lady-samuel-of-wych-cross-and-a-discerning-eye-property-from-a-knightsbridge-apartment-l08303,18 NOV 2008
1321,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-l08213,05 NOV 2008
1322,"Furniture, Clocks, Silver, Ceramics and Decorative Arts",furniture-clocks-silver-ceramics-and-decorative-arts-am1059,29 OCT 2008
1323,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-hk0280,08 OCT 2008
1324,Jade: The Zhirouzhai Collection,jade-the-zhirouzhai-collection-hk0293,08 OCT 2008
1325,Legacies of Imperial Power: Treasures from the Imperial Collection,legacies-of-imperial-power-treasures-from-the-imperial-collection-hk0294,08 OCT 2008
1326,Legacies of Imperial Power: Two Exceptional Qianlong Scrolls,legacies-of-imperial-power-two-exceptional-qianlong-scrolls-hk0282,08 OCT 2008
1327,Legacies of Imperial Power: Qianlong Imperial Seals from the Estate of Emile Guimet,legacies-of-imperial-power-qianlong-imperial-seals-from-the-estate-of-emile-guimet-hk0281,08 OCT 2008
1328,"Fine Furniture &amp; Decorative Arts, including Important 19th Century Furniture",fine-furniture-decorative-arts-including-important-19th-century-furniture-l08302,01 OCT 2008
1329,Fine Chinese Ceramics &amp; Works of Art including Chinese and Japanese Art from The Collection of Frieda and Milton Rosenthal,fine-chinese-ceramics-works-of-art-including-chinese-and-japanese-art-from-the-collection-of-frieda-and-milton-rosenthal-n08464,16 SEP 2008
1330,"Private Collection: Furniture, Paintings and Works of Art",private-collection-furniture-paintings-and-works-of-art-pf8028,18 JUN 2008
1331,Asian Arts,asian-arts-pf8010,12 JUN 2008
1332,"From Neolithic to Qing, Chinese Ceramics from Two Private Collections from two European collections",from-neolithic-to-qing-chinese-ceramics-from-two-private-collections-from-two-european-collections-pf8024,12 JUN 2008
1333,"Fine Furniture, Clocks &amp; Works of Art",fine-furniture-clocks-works-of-art-am1050,20 MAY 2008
1334,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-l08210,14 MAY 2008
1335,"Masterpieces of Chinese Precious Metalwork, Early Gold and Silver; Early Chinese White, Green and Black Wares",masterpieces-of-chinese-precious-metalwork-early-gold-and-silver-early-chinese-white-green-and-black-wares-l08211,14 MAY 2008
1336,The Collection of Khalil Rizk,the-collection-of-khalil-rizk-n08411,25 APR 2008
1337,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0269,11 APR 2008
1338,Splendours of the Qing Court,splendours-of-the-qing-court-hk0285,11 APR 2008
1339,Tao The Jiansongge Collection,tao-the-jiansongge-collection-hk0271,11 APR 2008
1340,Two Song Treasures From a Japanese Collection,two-song-treasures-from-a-japanese-collection-hk0284,11 APR 2008
1341,A Tradition of Elegance The Leshantang Collection,a-tradition-of-elegance-the-leshantang-collection-hk0270,11 APR 2008
1342,Masterpieces of Chinese Precious Metalwork - Ming and Qing Imperial Gold,masterpieces-of-chinese-precious-metalwork-ming-and-qing-imperial-gold-hk0288,11 APR 2008
1343,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-n08420,18 MAR 2008
1344,Asian Arts,asian-arts-pf7020,06 DEC 2007
1345,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-l07212,07 NOV 2007
1346,The Mu-Fei Collection of Chinese Paintings,the-mu-fei-collection-of-chinese-paintings-l07213,07 NOV 2007
1347,Property from Aristocratic Families including Coaches from a Royal Stable,property-from-aristocratic-families-including-coaches-from-a-royal-stable-am1031, 29 OCT 2007—30 OCT 2007
1348,"Ariane Dandois: European Furniture, Paintings &amp; Asian Art",ariane-dandois-european-furniture-paintings-asian-art-n08361, 25 OCT 2007—26 OCT 2007
1349,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0263,09 OCT 2007
1350,"Yuan Ming Yuan The Garden of Absolute Clarity and Imperial Peking, The Last Days",yuan-ming-yuan-the-garden-of-absolute-clarity-and-imperial-peking-the-last-days-hk0260,09 OCT 2007
1351,Qing Porcelain and Works of Art from a Private Collection,qing-porcelain-and-works-of-art-from-a-private-collection-hk0259,09 OCT 2007
1352,The Arts of the Buddha Sale,the-arts-of-the-buddha-sale-n08345,21 SEP 2007
1353,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-n08342,18 SEP 2007
1354,"European Collections: Paintings, Ceramics, Glass, Furniture and other Works of Art",european-collections-paintings-ceramics-glass-furniture-and-other-works-of-art-am1028, 17 SEP 2007—18 SEP 2007
1355,Asian Art,asian-art-pf7007,14 JUN 2007
1356,Chinese Ceramics &amp; Works of Art,chinese-ceramics-works-of-art-l07211,16 MAY 2007
1357,Fine Chinese Ceramics &amp; Works of Art,fine-chinese-ceramics-works-of-art-l07210,16 MAY 2007
1358,By Heavenly Mandate:  Important Historical Works of Art of the Qianlong Reign,by-heavenly-mandate-important-historical-works-of-art-of-the-qianlong-reign-hk0262,08 APR 2007
1359,Important Chinese Art:  The Collection of a Parisian Connoisseur,important-chinese-art-the-collection-of-a-parisian-connoisseur-hk0252,08 APR 2007
1360,An Important Private Collection from Hanover,an-important-private-collection-from-hanover-am1020, 27 MAR 2007—29 MAR 2007
1361,"Fine Chinese Ceramics and Works of Art, including Property from the Collection of the Albright-Knox Art Gallery, Buffalo, New York",fine-chinese-ceramics-and-works-of-art-including-property-from-the-collection-of-the-albright-knox-art-gallery-buffalo-new-york-n08299, 19 MAR 2007—20 MAR 2007
1362,The Concordia House Collection:  Fine Chinese Jades and Important Works of Art from a Midwestern Family,the-concordia-house-collection-fine-chinese-jades-and-important-works-of-art-from-a-midwestern-family-n08347,19 MAR 2007
1363,"The Estate of Christian, Lady Hesketh:Sold by order of her Executors, together with property of the Trustees of the 2nd Baron Hesketh&amp;#39;s Will Trust",the-estate-of-christian-lady-heskethsold-by-order-of-her-executors-together-with-property-of-the-trustees-of-the-2nd-baron-heskeths-will-trust-l07500,07 MAR 2007
1364,The Frits Philips Collection,the-frits-philips-collection-am1025, 04 DEC 2006—05 DEC 2006
1366,Crowns and Coronets 2006,crowns-and-coronets-2006-am1010, 31 OCT 2006—01 NOV 2006
1367,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0236,08 OCT 2006
1368,Wanli,wanli-hk0246,07 OCT 2006
1370,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-n08223,21 SEP 2006
1371,"Shrubland Park, Suffolk, England - Country House Sale",shrubland-park-suffolk-england-country-house-sale-l06501, 19 SEP 2006—21 SEP 2006
1372,Chinese and Japanese Ceramics and Works of Art,chinese-and-japanese-ceramics-and-works-of-art-am0994,22 MAY 2006
1373,Fine Chinese Ceramics and Works of Art,fine-chinese-ceramics-and-works-of-art-hk0229,10 APR 2006
1374,Chinese Works of Art,chinese-works-of-art-n08171,30 MAR 2006
1375,Property from the Collections of Lily &amp; Edmond J. Safra,property-from-the-collections-of-lily-edmond-j-safra-n08124, 03 NOV 2005—04 NOV 2005
1376,The Arts of Buddha,the-arts-of-buddha-n08057,22 SEP 2004
1377,20th Century Asian Art,20th-century-asian-art-l04751,06 MAY 2004
1378,Fine Chinese Paintings,fine-chinese-paintings-hk0659,04 OCT 2016
1379,Fine Classical Chinese Paintings &amp; Calligraphy,fine-classical-chinese-paintings-calligraphy-n09546,15 SEP 2016
1380,The Roy and Marilyn Papp Collection of Chinese Paintings,roy-and-marilyn-papp-collection-of-chinese-paintings-n09544,14 SEP 2016
1381,Fine Classical Chinese Paintings,fine-classical-chinese-paintings-hk0635,30 MAY 2016
1382,Saturday at Sotheby’s: Asian Art,saturday-at-sothebys-asian-art-n09481,19 MAR 2016
1383,Fine Classical Chinese Paintings &amp; Calligraphy,fine-chinese-paintings-calligraphy-n09480,17 MAR 2016
1384,Fine Classical Chinese Paintings,classical-chinese-paintings-hk0588,05 OCT 2015
1385,Saturday at Sotheby's: Asian Art,saturday-at-sothebys-asian-art-n09437,19 SEP 2015
1386,Fine Classical Chinese Paintings &amp; Calligraphy,fine-classical-chinese-paintings-calligraphy-n09394,17 SEP 2015
1387,Saturday at Sotheby’s: Chinese Art,saturday-at-sothebys-chinese-art-n09360,21 MAR 2015
1388,Fine Classical Chinese Paintings &amp; Calligraphy,fine-classical-chinese-paintings-n09320,19 MAR 2015
1389,Inscriptions: History as Art,inscriptions-history-as-art-n09337,17 MAR 2015
1390,Chinese Paintings &amp; Calligraphy&lt;br&gt;Formerly in the Collection of General and Mrs. Zhu,chinese-paintings-calligraphy-collection-of-general-zhu-shaoliang-n09190,18 SEP 2014
1391,Fine Classical Chinese Paintings &amp; Calligraphy,fine-classical-chinese-paintings-n09193,18 SEP 2014
1392,Fine Classical Chinese Paintings &amp; Calligraphy,fine-classical-chinese-paintings-n09117,20 MAR 2014
1393,"A Night of Nature, Art &amp; Wine",null-hk0445,16 NOV 2013
1394,Fine Classical Chinese Paintings and Cal,fine-classical-chinese-paintings-n09009,19 SEP 2013
1395,Fine Classical Chinese Paintings,fine-classical-chinese-paintings-n08973,21 MAR 2013
1396,Fine Classical Chinese Paintings,fine-classical-chinese-paintings-n08874,13 SEP 2012
1397,Fine Classical Chinese Paintings,fine-classical-chinese-paintings-n08835,22 MAR 2012
